------------------省级复核，每天地区新增和 == 省级新增-----------------
北京,2月2日,地区新增核减累加值为-6,省级新增0
上海,日期:2月7日,出院累计值5,卫健委累计值0
云南,日期:1月21日,确诊累计值1,卫健委累计值0
云南,日期:1月23日,确诊累计值1,卫健委累计值0
云南,日期:1月24日,确诊累计值3,卫健委累计值0
云南,日期:1月25日,确诊累计值6,卫健委累计值0
云南,日期:1月26日,确诊累计值8,卫健委累计值0
云南,日期:1月27日,确诊累计值25,卫健委累计值0
云南,日期:1月28日,确诊累计值7,卫健委累计值0
云南,日期:1月29日,确诊累计值19,卫健委累计值0
云南,日期:1月30日,确诊累计值10,卫健委累计值0
云南,日期:1月31日,确诊累计值11,卫健委累计值0
云南,日期:1月31日,出院累计值1,卫健委累计值0
云南,日期:2月1日,确诊累计值8,卫健委累计值0
云南,日期:2月1日,出院累计值1,卫健委累计值0
云南,日期:2月2日,确诊累计值10,卫健委累计值0
云南,日期:2月2日,出院累计值1,卫健委累计值0
云南,日期:2月3日,确诊累计值8,卫健委累计值0
云南,日期:2月3日,出院累计值2,卫健委累计值0
云南,日期:2月4日,确诊累计值5,卫健委累计值0
云南,日期:2月5日,确诊累计值6,卫健委累计值0
云南,日期:2月6日,确诊累计值7,卫健委累计值0
云南,日期:2月7日,确诊累计值3,卫健委累计值0
内蒙古,日期:1月23日,确诊累计值1,卫健委累计值0
内蒙古,日期:1月24日,确诊累计值1,卫健委累计值0
内蒙古,日期:1月25日,确诊累计值5,卫健委累计值0
内蒙古,日期:1月26日,确诊累计值4,卫健委累计值0
内蒙古,日期:1月27日,确诊累计值2,卫健委累计值0
内蒙古,日期:1月28日,确诊累计值3,卫健委累计值0
内蒙古,日期:1月29日,确诊累计值2,卫健委累计值0
内蒙古,日期:1月30日,确诊累计值2,卫健委累计值0
内蒙古,日期:1月31日,确诊累计值3,卫健委累计值0
内蒙古,日期:1月31日,出院累计值1,卫健委累计值0
内蒙古,日期:2月1日,确诊累计值4,卫健委累计值0
内蒙古,日期:2月2日,确诊累计值7,卫健委累计值0
内蒙古,日期:2月3日,确诊累计值1,卫健委累计值0
内蒙古,日期:2月4日,确诊累计值7,卫健委累计值0
内蒙古,日期:2月5日,确诊累计值4,卫健委累计值0
内蒙古,日期:2月6日,确诊累计值4,卫健委累计值0
内蒙古,日期:2月7日,确诊累计值2,卫健委累计值0
北京,日期:1月19日,确诊累计值2,卫健委累计值0
北京,日期:1月20日,确诊累计值3,卫健委累计值0
北京,日期:1月21日,确诊累计值5,卫健委累计值0
北京,日期:1月22日,确诊累计值4,卫健委累计值0
北京,日期:1月23日,确诊累计值12,卫健委累计值0
北京,日期:1月24日,确诊累计值15,卫健委累计值0
北京,日期:1月24日,出院累计值1,卫健委累计值0
北京,日期:1月25日,确诊累计值13,卫健委累计值0
北京,日期:1月25日,出院累计值1,卫健委累计值0
北京,日期:1月26日,确诊累计值18,卫健委累计值0
北京,日期:1月27日,确诊累计值19,卫健委累计值0
北京,日期:1月27日,死亡累计值1,卫健委累计值0
北京,日期:1月28日,确诊累计值11,卫健委累计值0
北京,日期:1月28日,出院累计值2,卫健委累计值0
北京,日期:1月29日,确诊累计值12,卫健委累计值0
北京,日期:1月30日,确诊累计值18,卫健委累计值0
北京,日期:1月30日,出院累计值1,卫健委累计值0
北京,日期:1月31日,确诊累计值24,卫健委累计值0
北京,日期:2月1日,确诊累计值27,卫健委累计值0
北京,日期:2月1日,出院累计值4,卫健委累计值0
北京,日期:2月2日,确诊累计值29,卫健委累计值0
北京,日期:2月2日,出院累计值3,卫健委累计值0
北京,日期:2月3日,确诊累计值16,卫健委累计值0
北京,日期:2月3日,出院累计值11,卫健委累计值0
北京,日期:2月4日,确诊累计值25,卫健委累计值0
北京,日期:2月4日,出院累计值1,卫健委累计值0
北京,日期:2月5日,确诊累计值21,卫健委累计值0
北京,日期:2月5日,出院累计值7,卫健委累计值0
北京,日期:2月6日,确诊累计值23,卫健委累计值0
北京,日期:2月7日,确诊累计值18,卫健委累计值0
北京,日期:2月7日,出院累计值1,卫健委累计值0
北京,日期:2月7日,死亡累计值1,卫健委累计值0
吉林,日期:1月22日,确诊累计值1,卫健委累计值0
吉林,日期:1月23日,确诊累计值2,卫健委累计值0
吉林,日期:1月24日,确诊累计值1,卫健委累计值0
吉林,日期:1月26日,确诊累计值2,卫健委累计值0
吉林,日期:1月27日,确诊累计值2,卫健委累计值0
吉林,日期:1月28日,确诊累计值1,卫健委累计值0
吉林,日期:1月29日,确诊累计值5,卫健委累计值0
吉林,日期:1月30日,出院累计值1,卫健委累计值0
吉林,日期:1月31日,确诊累计值3,卫健委累计值0
吉林,日期:2月1日,确诊累计值6,卫健委累计值0
吉林,日期:2月2日,确诊累计值8,卫健委累计值0
吉林,日期:2月3日,确诊累计值11,卫健委累计值0
吉林,日期:2月4日,确诊累计值12,卫健委累计值0
吉林,日期:2月5日,确诊累计值5,卫健委累计值0
吉林,日期:2月5日,出院累计值1,卫健委累计值0
吉林,日期:2月6日,确诊累计值6,卫健委累计值0
吉林,日期:2月6日,出院累计值2,卫健委累计值0
吉林,日期:2月7日,确诊累计值4,卫健委累计值0
四川,日期:1月21日,确诊累计值2,卫健委累计值0
四川,日期:1月22日,确诊累计值6,卫健委累计值0
四川,日期:1月23日,确诊累计值7,卫健委累计值0
四川,日期:1月24日,确诊累计值13,卫健委累计值0
四川,日期:1月25日,确诊累计值16,卫健委累计值0
四川,日期:1月26日,确诊累计值25,卫健委累计值0
四川,日期:1月27日,确诊累计值21,卫健委累计值0
四川,日期:1月28日,确诊累计值18,卫健委累计值0
四川,日期:1月29日,确诊累计值34,卫健委累计值0
四川,日期:1月29日,出院累计值1,卫健委累计值0
四川,日期:1月29日,死亡累计值1,卫健委累计值0
四川,日期:1月30日,确诊累计值37,卫健委累计值0
四川,日期:1月31日,确诊累计值30,卫健委累计值0
四川,日期:1月31日,出院累计值2,卫健委累计值0
四川,日期:2月1日,确诊累计值24,卫健委累计值0
四川,日期:2月2日,确诊累计值23,卫健委累计值0
四川,日期:2月2日,出院累计值9,卫健委累计值0
四川,日期:2月3日,确诊累计值28,卫健委累计值0
四川,日期:2月3日,出院累计值2,卫健委累计值0
四川,日期:2月4日,确诊累计值19,卫健委累计值0
四川,日期:2月4日,出院累计值9,卫健委累计值0
四川,日期:2月5日,确诊累计值20,卫健委累计值0
四川,日期:2月5日,出院累计值4,卫健委累计值0
四川,日期:2月6日,确诊累计值23,卫健委累计值0
四川,日期:2月6日,出院累计值10,卫健委累计值0
四川,日期:2月7日,确诊累计值19,卫健委累计值0
四川,日期:2月7日,出院累计值13,卫健委累计值0
天津,日期:1月21日,确诊累计值2,卫健委累计值0
天津,日期:1月22日,确诊累计值2,卫健委累计值0
天津,日期:1月23日,确诊累计值1,卫健委累计值0
天津,日期:1月24日,确诊累计值3,卫健委累计值0
天津,日期:1月25日,确诊累计值2,卫健委累计值0
天津,日期:1月26日,确诊累计值4,卫健委累计值0
天津,日期:1月27日,确诊累计值9,卫健委累计值0
天津,日期:1月28日,确诊累计值1,卫健委累计值0
天津,日期:1月29日,确诊累计值3,卫健委累计值0
天津,日期:1月30日,确诊累计值4,卫健委累计值0
天津,日期:1月31日,确诊累计值1,卫健委累计值0
天津,日期:2月1日,确诊累计值9,卫健委累计值0
天津,日期:2月2日,确诊累计值7,卫健委累计值0
天津,日期:2月2日,出院累计值1,卫健委累计值0
天津,日期:2月3日,确诊累计值12,卫健委累计值0
天津,日期:2月4日,确诊累计值4,卫健委累计值0
天津,日期:2月4日,出院累计值1,卫健委累计值0
天津,日期:2月5日,确诊累计值2,卫健委累计值0
天津,日期:2月5日,死亡累计值1,卫健委累计值0
天津,日期:2月6日,确诊累计值10,卫健委累计值0
天津,日期:2月7日,确诊累计值2,卫健委累计值0
宁夏,日期:1月21日,确诊累计值1,卫健委累计值0
宁夏,日期:1月23日,确诊累计值1,卫健委累计值0
宁夏,日期:1月24日,确诊累计值1,卫健委累计值0
宁夏,日期:1月25日,确诊累计值1,卫健委累计值0
宁夏,日期:1月26日,确诊累计值3,卫健委累计值0
宁夏,日期:1月27日,确诊累计值4,卫健委累计值0
宁夏,日期:1月28日,确诊累计值1,卫健委累计值0
宁夏,日期:1月29日,确诊累计值5,卫健委累计值0
宁夏,日期:1月30日,确诊累计值4,卫健委累计值0
宁夏,日期:1月31日,确诊累计值5,卫健委累计值0
宁夏,日期:2月1日,确诊累计值2,卫健委累计值0
宁夏,日期:2月2日,确诊累计值3,卫健委累计值0
宁夏,日期:2月3日,确诊累计值3,卫健委累计值0
宁夏,日期:2月3日,出院累计值1,卫健委累计值0
宁夏,日期:2月5日,确诊累计值6,卫健委累计值0
宁夏,日期:2月6日,确诊累计值3,卫健委累计值0
宁夏,日期:2月7日,确诊累计值2,卫健委累计值0
安徽,日期:1月21日,确诊累计值1,卫健委累计值0
安徽,日期:1月22日,确诊累计值8,卫健委累计值0
安徽,日期:1月23日,确诊累计值6,卫健委累计值0
安徽,日期:1月24日,确诊累计值24,卫健委累计值0
安徽,日期:1月25日,确诊累计值21,卫健委累计值0
安徽,日期:1月26日,确诊累计值10,卫健委累计值0
安徽,日期:1月27日,确诊累计值36,卫健委累计值0
安徽,日期:1月28日,确诊累计值46,卫健委累计值0
安徽,日期:1月28日,出院累计值2,卫健委累计值0
安徽,日期:1月29日,确诊累计值48,卫健委累计值0
安徽,日期:1月29日,出院累计值2,卫健委累计值0
安徽,日期:1月30日,确诊累计值37,卫健委累计值0
安徽,日期:1月30日,出院累计值1,卫健委累计值0
安徽,日期:1月31日,确诊累计值60,卫健委累计值0
安徽,日期:2月1日,确诊累计值43,卫健委累计值0
安徽,日期:2月1日,出院累计值2,卫健委累计值0
安徽,日期:2月2日,确诊累计值68,卫健委累计值0
安徽,日期:2月2日,出院累计值2,卫健委累计值0
安徽,日期:2月3日,确诊累计值72,卫健委累计值0
安徽,日期:2月3日,出院累计值7,卫健委累计值0
安徽,日期:2月4日,确诊累计值50,卫健委累计值0
安徽,日期:2月4日,出院累计值6,卫健委累计值0
安徽,日期:2月5日,确诊累计值61,卫健委累计值0
安徽,日期:2月5日,出院累计值3,卫健委累计值0
安徽,日期:2月6日,确诊累计值74,卫健委累计值0
安徽,日期:2月6日,出院累计值11,卫健委累计值0
安徽,日期:2月7日,确诊累计值68,卫健委累计值0
安徽,日期:2月7日,出院累计值13,卫健委累计值0
山东,日期:1月21日,确诊累计值2,卫健委累计值0
山东,日期:1月22日,确诊累计值4,卫健委累计值0
山东,日期:1月23日,确诊累计值3,卫健委累计值0
山东,日期:1月24日,确诊累计值12,卫健委累计值0
山东,日期:1月25日,确诊累计值18,卫健委累计值0
山东,日期:1月26日,确诊累计值24,卫健委累计值0
山东,日期:1月27日,确诊累计值24,卫健委累计值0
山东,日期:1月28日,确诊累计值34,卫健委累计值0
山东,日期:1月29日,确诊累计值24,卫健委累计值0
山东,日期:1月29日,出院累计值1,卫健委累计值0
山东,日期:1月30日,确诊累计值33,卫健委累计值0
山东,日期:1月30日,出院累计值1,卫健委累计值0
山东,日期:1月31日,确诊累计值24,卫健委累计值0
山东,日期:2月1日,确诊累计值23,卫健委累计值0
山东,日期:2月1日,出院累计值3,卫健委累计值0
山东,日期:2月2日,确诊累计值21,卫健委累计值0
山东,日期:2月2日,出院累计值1,卫健委累计值0
山东,日期:2月3日,确诊累计值24,卫健委累计值0
山东,日期:2月3日,出院累计值1,卫健委累计值0
山东,日期:2月4日,确诊累计值28,卫健委累计值0
山东,日期:2月4日,出院累计值6,卫健委累计值0
山东,日期:2月5日,确诊累计值45,卫健委累计值0
山东,日期:2月5日,出院累计值5,卫健委累计值0
山东,日期:2月6日,确诊累计值36,卫健委累计值0
山东,日期:2月7日,确诊累计值30,卫健委累计值0
山东,日期:2月7日,出院累计值7,卫健委累计值0
山西,日期:1月22日,确诊累计值1,卫健委累计值0
山西,日期:1月24日,确诊累计值5,卫健委累计值0
山西,日期:1月25日,确诊累计值3,卫健委累计值0
山西,日期:1月26日,确诊累计值4,卫健委累计值0
山西,日期:1月27日,确诊累计值7,卫健委累计值0
山西,日期:1月28日,确诊累计值7,卫健委累计值0
山西,日期:1月29日,确诊累计值8,卫健委累计值0
山西,日期:1月29日,出院累计值1,卫健委累计值0
山西,日期:1月30日,确诊累计值4,卫健委累计值0
山西,日期:1月31日,确诊累计值8,卫健委累计值0
山西,日期:2月1日,确诊累计值9,卫健委累计值0
山西,日期:2月2日,确诊累计值10,卫健委累计值0
山西,日期:2月2日,出院累计值1,卫健委累计值0
山西,日期:2月3日,确诊累计值8,卫健委累计值0
山西,日期:2月4日,确诊累计值7,卫健委累计值0
山西,日期:2月4日,出院累计值2,卫健委累计值0
山西,日期:2月5日,确诊累计值9,卫健委累计值0
山西,日期:2月5日,出院累计值2,卫健委累计值0
山西,日期:2月6日,确诊累计值6,卫健委累计值0
山西,日期:2月6日,出院累计值6,卫健委累计值0
山西,日期:2月7日,确诊累计值8,卫健委累计值0
山西,日期:2月7日,出院累计值3,卫健委累计值0
广东,日期:1月19日,确诊累计值1,卫健委累计值0
广东,日期:1月20日,确诊累计值13,卫健委累计值0
广东,日期:1月21日,确诊累计值12,卫健委累计值0
广东,日期:1月22日,确诊累计值6,卫健委累计值0
广东,日期:1月23日,确诊累计值21,卫健委累计值0
广东,日期:1月23日,出院累计值2,卫健委累计值0
广东,日期:1月24日,确诊累计值25,卫健委累计值0
广东,日期:1月25日,确诊累计值20,卫健委累计值0
广东,日期:1月26日,确诊累计值48,卫健委累计值0
广东,日期:1月27日,确诊累计值42,卫健委累计值0
广东,日期:1月27日,出院累计值2,卫健委累计值0
广东,日期:1月28日,确诊累计值53,卫健委累计值0
广东,日期:1月28日,出院累计值1,卫健委累计值0
广东,日期:1月29日,确诊累计值70,卫健委累计值0
广东,日期:1月29日,出院累计值1,卫健委累计值0
广东,日期:1月30日,确诊累计值82,卫健委累计值0
广东,日期:1月30日,出院累计值3,卫健委累计值0
广东,日期:1月31日,确诊累计值127,卫健委累计值0
广东,日期:1月31日,出院累计值1,卫健委累计值0
广东,日期:2月1日,确诊累计值84,卫健委累计值0
广东,日期:2月1日,出院累计值2,卫健委累计值0
广东,日期:2月2日,确诊累计值79,卫健委累计值0
广东,日期:2月2日,出院累计值2,卫健委累计值0
广东,日期:2月3日,确诊累计值114,卫健委累计值0
广东,日期:2月3日,出院累计值6,卫健委累计值0
广东,日期:2月4日,确诊累计值73,卫健委累计值0
广东,日期:2月4日,出院累计值12,卫健委累计值0
广东,日期:2月5日,确诊累计值74,卫健委累计值0
广东,日期:2月5日,出院累计值17,卫健委累计值0
广东,日期:2月6日,确诊累计值74,卫健委累计值0
广东,日期:2月6日,出院累计值19,卫健委累计值0
广东,日期:2月6日,死亡累计值1,卫健委累计值0
广东,日期:2月7日,确诊累计值57,卫健委累计值0
广东,日期:2月7日,出院累计值29,卫健委累计值0
广东,日期:2月7日,死亡累计值1,卫健委累计值0
广西,日期:1月22日,确诊累计值5,卫健委累计值0
广西,日期:1月23日,确诊累计值8,卫健委累计值0
广西,日期:1月24日,确诊累计值10,卫健委累计值0
广西,日期:1月25日,确诊累计值10,卫健委累计值0
广西,日期:1月26日,确诊累计值13,卫健委累计值0
广西,日期:1月27日,确诊累计值5,卫健委累计值0
广西,日期:1月28日,确诊累计值7,卫健委累计值0
广西,日期:1月28日,出院累计值2,卫健委累计值0
广西,日期:1月29日,确诊累计值20,卫健委累计值0
广西,日期:1月30日,确诊累计值9,卫健委累计值0
广西,日期:1月31日,确诊累计值13,卫健委累计值0
广西,日期:2月1日,确诊累计值11,卫健委累计值0
广西,日期:2月2日,确诊累计值16,卫健委累计值0
广西,日期:2月3日,确诊累计值12,卫健委累计值0
广西,日期:2月3日,出院累计值5,卫健委累计值0
广西,日期:2月4日,确诊累计值11,卫健委累计值0
广西,日期:2月4日,出院累计值3,卫健委累计值0
广西,日期:2月5日,确诊累计值18,卫健委累计值0
广西,日期:2月5日,出院累计值4,卫健委累计值0
广西,日期:2月6日,确诊累计值4,卫健委累计值0
广西,日期:2月7日,确诊累计值11,卫健委累计值0
新疆,日期:1月23日,确诊累计值2,卫健委累计值0
新疆,日期:1月24日,确诊累计值1,卫健委累计值0
新疆,日期:1月25日,确诊累计值1,卫健委累计值0
新疆,日期:1月26日,确诊累计值1,卫健委累计值0
新疆,日期:1月27日,确诊累计值5,卫健委累计值0
新疆,日期:1月28日,确诊累计值3,卫健委累计值0
新疆,日期:1月29日,确诊累计值1,卫健委累计值0
新疆,日期:1月30日,确诊累计值3,卫健委累计值0
新疆,日期:1月31日,确诊累计值1,卫健委累计值0
新疆,日期:2月1日,确诊累计值3,卫健委累计值0
新疆,日期:2月2日,确诊累计值3,卫健委累计值0
新疆,日期:2月3日,确诊累计值5,卫健委累计值0
新疆,日期:2月4日,确诊累计值3,卫健委累计值0
新疆,日期:2月5日,确诊累计值4,卫健委累计值0
新疆,日期:2月6日,确诊累计值3,卫健委累计值0
新疆,日期:2月7日,确诊累计值3,卫健委累计值0
江苏,日期:1月22日,确诊累计值1,卫健委累计值0
江苏,日期:1月23日,确诊累计值8,卫健委累计值0
江苏,日期:1月24日,确诊累计值9,卫健委累计值0
江苏,日期:1月24日,出院累计值1,卫健委累计值0
江苏,日期:1月25日,确诊累计值13,卫健委累计值0
江苏,日期:1月26日,确诊累计值16,卫健委累计值0
江苏,日期:1月27日,确诊累计值23,卫健委累计值0
江苏,日期:1月28日,确诊累计值29,卫健委累计值0
江苏,日期:1月29日,确诊累计值30,卫健委累计值0
江苏,日期:1月30日,确诊累计值39,卫健委累计值0
江苏,日期:1月30日,出院累计值1,卫健委累计值0
江苏,日期:1月31日,确诊累计值34,卫健委累计值0
江苏,日期:1月31日,出院累计值3,卫健委累计值0
江苏,日期:2月1日,确诊累计值34,卫健委累计值0
江苏,日期:2月1日,出院累计值1,卫健委累计值0
江苏,日期:2月2日,确诊累计值35,卫健委累计值0
江苏,日期:2月2日,出院累计值1,卫健委累计值0
江苏,日期:2月3日,确诊累计值37,卫健委累计值0
江苏,日期:2月3日,出院累计值1,卫健委累计值0
江苏,日期:2月4日,确诊累计值33,卫健委累计值0
江苏,日期:2月4日,出院累计值5,卫健委累计值0
江苏,日期:2月5日,确诊累计值32,卫健委累计值0
江苏,日期:2月5日,出院累计值13,卫健委累计值0
江苏,日期:2月6日,确诊累计值35,卫健委累计值0
江苏,日期:2月7日,确诊累计值31,卫健委累计值0
江苏,日期:2月7日,出院累计值5,卫健委累计值0
江西,日期:1月21日,确诊累计值2,卫健委累计值0
江西,日期:1月22日,确诊累计值1,卫健委累计值0
江西,日期:1月23日,确诊累计值4,卫健委累计值0
江西,日期:1月24日,确诊累计值11,卫健委累计值0
江西,日期:1月25日,确诊累计值18,卫健委累计值0
江西,日期:1月26日,确诊累计值12,卫健委累计值0
江西,日期:1月27日,确诊累计值24,卫健委累计值0
江西,日期:1月27日,出院累计值2,卫健委累计值0
江西,日期:1月28日,确诊累计值37,卫健委累计值0
江西,日期:1月28日,出院累计值1,卫健委累计值0
江西,日期:1月29日,确诊累计值53,卫健委累计值0
江西,日期:1月30日,确诊累计值78,卫健委累计值0
江西,日期:1月30日,出院累计值4,卫健委累计值0
江西,日期:1月31日,确诊累计值48,卫健委累计值0
江西,日期:1月31日,出院累计值2,卫健委累计值0
江西,日期:2月1日,确诊累计值47,卫健委累计值0
江西,日期:2月1日,出院累计值1,卫健委累计值0
江西,日期:2月2日,确诊累计值60,卫健委累计值0
江西,日期:2月2日,出院累计值8,卫健委累计值0
江西,日期:2月3日,确诊累计值85,卫健委累计值0
江西,日期:2月3日,出院累计值1,卫健委累计值0
江西,日期:2月4日,确诊累计值72,卫健委累计值0
江西,日期:2月4日,出院累计值8,卫健委累计值0
江西,日期:2月5日,确诊累计值52,卫健委累计值0
江西,日期:2月5日,出院累计值10,卫健委累计值0
江西,日期:2月6日,确诊累计值61,卫健委累计值0
江西,日期:2月6日,出院累计值8,卫健委累计值0
江西,日期:2月7日,确诊累计值37,卫健委累计值0
江西,日期:2月7日,出院累计值10,卫健委累计值0
河北,日期:1月22日,确诊累计值1,卫健委累计值0
河北,日期:1月23日,确诊累计值1,卫健委累计值0
河北,日期:1月23日,死亡累计值1,卫健委累计值0
河北,日期:1月24日,确诊累计值6,卫健委累计值0
河北,日期:1月25日,确诊累计值5,卫健委累计值0
河北,日期:1月26日,确诊累计值5,卫健委累计值0
河北,日期:1月27日,确诊累计值15,卫健委累计值0
河北,日期:1月28日,确诊累计值15,卫健委累计值0
河北,日期:1月29日,确诊累计值17,卫健委累计值0
河北,日期:1月30日,确诊累计值17,卫健委累计值0
河北,日期:1月31日,确诊累计值14,卫健委累计值0
河北,日期:2月1日,确诊累计值8,卫健委累计值0
河北,日期:2月1日,出院累计值3,卫健委累计值0
河北,日期:2月2日,确诊累计值9,卫健委累计值0
河北,日期:2月3日,确诊累计值13,卫健委累计值0
河北,日期:2月4日,确诊累计值9,卫健委累计值0
河北,日期:2月4日,出院累计值1,卫健委累计值0
河北,日期:2月5日,确诊累计值22,卫健委累计值0
河北,日期:2月5日,出院累计值3,卫健委累计值0
河北,日期:2月6日,确诊累计值14,卫健委累计值0
河北,日期:2月7日,确诊累计值24,卫健委累计值0
河北,日期:2月7日,出院累计值9,卫健委累计值0
河南,日期:1月21日,确诊累计值1,卫健委累计值0
河南,日期:1月22日,确诊累计值4,卫健委累计值0
河南,日期:1月23日,确诊累计值4,卫健委累计值0
河南,日期:1月24日,确诊累计值23,卫健委累计值0
河南,日期:1月25日,确诊累计值51,卫健委累计值0
河南,日期:1月25日,死亡累计值1,卫健委累计值0
河南,日期:1月26日,确诊累计值45,卫健委累计值0
河南,日期:1月27日,确诊累计值40,卫健委累计值0
河南,日期:1月28日,确诊累计值38,卫健委累计值0
河南,日期:1月28日,出院累计值1,卫健委累计值0
河南,日期:1月28日,死亡累计值1,卫健委累计值0
河南,日期:1月29日,确诊累计值72,卫健委累计值0
河南,日期:1月29日,出院累计值1,卫健委累计值0
河南,日期:1月30日,确诊累计值74,卫健委累计值0
河南,日期:1月30日,出院累计值1,卫健委累计值0
河南,日期:1月31日,确诊累计值70,卫健委累计值0
河南,日期:2月1日,确诊累计值71,卫健委累计值0
河南,日期:2月1日,出院累计值1,卫健委累计值0
河南,日期:2月2日,确诊累计值73,卫健委累计值0
河南,日期:2月2日,出院累计值10,卫健委累计值0
河南,日期:2月3日,确诊累计值109,卫健委累计值0
河南,日期:2月3日,出院累计值6,卫健委累计值0
河南,日期:2月4日,确诊累计值89,卫健委累计值0
河南,日期:2月4日,出院累计值21,卫健委累计值0
河南,日期:2月5日,确诊累计值87,卫健委累计值0
河南,日期:2月5日,出院累计值13,卫健委累计值0
河南,日期:2月6日,确诊累计值63,卫健委累计值0
河南,日期:2月6日,出院累计值14,卫健委累计值0
河南,日期:2月6日,死亡累计值1,卫健委累计值0
河南,日期:2月7日,确诊累计值67,卫健委累计值0
河南,日期:2月7日,出院累计值29,卫健委累计值0
河南,日期:2月7日,死亡累计值1,卫健委累计值0
浙江,日期:1月20日,确诊累计值5,卫健委累计值0
浙江,日期:1月21日,确诊累计值5,卫健委累计值0
浙江,日期:1月22日,确诊累计值17,卫健委累计值0
浙江,日期:1月22日,出院累计值1,卫健委累计值0
浙江,日期:1月23日,确诊累计值16,卫健委累计值0
浙江,日期:1月24日,确诊累计值19,卫健委累计值0
浙江,日期:1月25日,确诊累计值42,卫健委累计值0
浙江,日期:1月26日,确诊累计值24,卫健委累计值0
浙江,日期:1月27日,确诊累计值45,卫健委累计值0
浙江,日期:1月28日,确诊累计值123,卫健委累计值0
浙江,日期:1月28日,出院累计值2,卫健委累计值0
浙江,日期:1月29日,确诊累计值132,卫健委累计值0
浙江,日期:1月29日,出院累计值1,卫健委累计值0
浙江,日期:1月30日,确诊累计值109,卫健委累计值0
浙江,日期:1月30日,出院累计值5,卫健委累计值0
浙江,日期:1月31日,确诊累计值62,卫健委累计值0
浙江,日期:1月31日,出院累计值6,卫健委累计值0
浙江,日期:2月1日,确诊累计值62,卫健委累计值0
浙江,日期:2月1日,出院累计值8,卫健委累计值0
浙江,日期:2月2日,确诊累计值63,卫健委累计值0
浙江,日期:2月2日,出院累计值13,卫健委累计值0
浙江,日期:2月3日,确诊累计值105,卫健委累计值0
浙江,日期:2月3日,出院累计值12,卫健委累计值0
浙江,日期:2月4日,确诊累计值66,卫健委累计值0
浙江,日期:2月4日,出院累计值15,卫健委累计值0
浙江,日期:2月5日,确诊累计值59,卫健委累计值0
浙江,日期:2月5日,出院累计值18,卫健委累计值0
浙江,日期:2月6日,确诊累计值52,卫健委累计值0
浙江,日期:2月6日,出院累计值17,卫健委累计值0
浙江,日期:2月7日,确诊累计值42,卫健委累计值0
浙江,日期:2月7日,出院累计值29,卫健委累计值0
湖北,日期:1月10日,确诊累计值41,卫健委累计值0
湖北,日期:1月10日,出院累计值2,卫健委累计值0
湖北,日期:1月10日,死亡累计值1,卫健委累计值0
湖北,日期:1月11日,出院累计值4,卫健委累计值0
湖北,日期:1月12日,出院累计值1,卫健委累计值0
湖北,日期:1月15日,出院累计值5,卫健委累计值0
湖北,日期:1月15日,死亡累计值1,卫健委累计值0
湖北,日期:1月16日,确诊累计值4,卫健委累计值0
湖北,日期:1月16日,出院累计值3,卫健委累计值0
湖北,日期:1月17日,确诊累计值17,卫健委累计值0
湖北,日期:1月17日,出院累计值4,卫健委累计值0
湖北,日期:1月18日,确诊累计值59,卫健委累计值0
